Nucleoporin Family,PFAM HMM ID,PFAM Description
Centrin2,PF13499,EF-hand_7
Elys,PF13934,ELYS
GLE1,PF07817,GLE1
Krh2,PF03661,TMEM33_Pom33
Mtor,PF07926,TPR_MLP1_2
Mug31,PF08058,NPCC
Ndc1,PF09531,Ndc1_Nup
Nup50,PF08911,NUP50
Nup53,PF05172,Nup35_RRM
Nup54,PF13874,Nup54
Nup62,PF05064,Nsp1_C
Nup75,PF07575,Nucleopor_Nup85
Nup88,PF10168,Nup88
Nup214,PF16755,NUP214
Nup93,PF04097,Nic96
Nup96,PF12110,Nup96
Nup107,PF04121,Nup84_Nup100
Nup133,PF08801,Nucleoporin_N
Nup153,PF08604,Nup153
Nup154,PF03177,Nucleoporin_C
Nup188,PF10487,Nup188
Nup205,PF11894,Nup192
Nup358,PF00638,Ran_BP1
Pom121,PF15229,POM121
Nup160,PF11715,Nup160
GP210,PF02368,Big_2
Nup43,N/A
Nup58,N/A
Seh1,N/A
Pom152,N/A
Nup2L1,N/A
Nup37,N/A
AAAS,N/A
Sec13,N/A
Nup60,N/A
RAE1,N/A
